nu_fit,I_fit,I_fitted
383000000000000.0,81158770.0,81158769.77268443
384000000000000.0,82158770.0,82158769.79568776
385000000000000.0,83158760.0,83158769.8186911
386000000000000.0,84158776.0,84158769.84169444
387000000000000.0,85158770.0,85158769.86469778
388000000000000.0,86158770.0,86158769.88770111
389000000000000.0,87158770.0,87158769.91070445
390000000000000.0,88158770.0,88158769.93370779
391000000000000.0,89158770.0,89158769.95671113
392000000000000.0,90158770.0,90158769.97971447
393000000000000.0,91158760.0,91158770.00271781
394000000000000.0,92158770.0,92158770.02572115
395000000000000.0,93158770.0,93158770.04872449
396000000000000.0,94158760.0,94158770.07172783
397000000000000.0,95158770.0,95158770.09473117
398000000000000.0,96158770.0,96158770.1177345
399000000000000.0,97158780.0,97158770.14073785
400000000000000.0,98158770.0,98158770.16374117
